comment,date,num_likes,tag,sentiment_score
공무원 ㅅㄱ들 진짜 생각없이 에휴 환경단체 역겨워서 그저 한쪽만보고 무지성 반대 단체 말만 듣고 정책하는게 참 에휴 나무 부족해서 온난화가속은 에휴 모순덩어리들,2023.10.28,1,youtube,-5
총선을 의식하는 듯 역행하는 정부의 모습에 속이 답답합니다  정부의 정책이 이렇게 손바닥 뒤집듯 뒤집어도 되는 것인지   참 안타깝네요   ,2023.11.7,1,instagram,-4
역행도 어이없지만 제대로 된 자료와 통계가 아닌 일부만을 위한 정책은 좋은 정책이라는 생각이 들지 않아요  무엇보다 나라의 주체는 국민이고 소상공인들 역시 국민이기에 우리의 일회용품 비사용이 결국 국민을 위한것임을 모르지 않을텐데요  탄소배출을 줄인다는 정책도 있는 것으로 아는데 규제를 안하면 탄소 배출은 어떻게 줄이나요  탁상행정 탁상행정 하지만 이러한 정책을 정하는 의원들은 책임감과 함께 국민을 위해 스스로 엄격한 잣대를 가지고  정책을 추진해야한다고 생각합니다 저는 스쿠버 다이빙을 하면서  그리고 제 후손과 현재 저의 좋은 사람들과 함께 깨끗하고 아름다우며 경이로운 자연을 지속적으로 보고싶어요 ,2023.11.14,6,instagram,-4
참  댓글들 가관이다 안좋아진 환경을 위해서라면 맛없어도 마실수있게해주는 종이빨대를 사용해야되는거고  바쁜 현대사회에도   초도 안걸리는 텀블러 사용하면되는건데 참   같은 인간이지만 인간은 없어져야마땅하다,2023.11.7,7,instagram,-4
역시 자영업자를 위하는 국민의힘 윤석열 정부라고 생각 대단하다 그래서 외국인 이모님 수천명을 한국에 오게 해서 음식점에 취업 시키려고 하고 조선소 인력이 부족하다고 외국 인력을 들여오고 말 그대로 외국인 노동자들의 수를 더 늘리겠다는 것이라고 생각하는데 대단한 국민의힘 윤석열 정부다 윤석열 정부 지지하는 인간들 중 많은 인간들이 불법체류자들 더럽게 비난하는데 그런데 외국인 노동자들이 불법체류자가 되는 것 아닌가 진짜로 이것들이 하는 행위는 앞뒤가 맞지가 않아 그래서 난 너희들이 싫어 어떻게 하면 환경을 위해 더 나은 것을 할지 추진해야 할 정부가 이따위짓이나 하고 있으니,2023.11.7,0,youtube,-4
진짜 ㅅㅂ 전형적인 탁상행정 ㅋㅋㅋㅋㅋㅋㅋ이새끼들은 생각이 없나아무리 대한민국에서 전국민이 일회용품을 안쓴다한들미국 중국이 분리수거 조차 안한다진짜 ㅅㅂ 생각을 조금만 하면 되는건데,2023.11.1,1,youtube,-4
미친다 참 이게다 윤석렬 때문이다,2023.10.31,0,youtube,-4
너무 선진국들 따르려고 아무런 대책도 없이 저렇게 내놓으면 참도 잘 하겠다 할꺼면 좀더 채계적이고 대책을 마련해줘야지 참,2023.10.30,0,youtube,-4
셧다운과 더불어 탁상행정의 전형적인 ㅄ짓임 기업이 재활용 가능한 재료만 써서 생산하게 만들면 되는데 그거 지적했다간 뇌물이나 접대 못받으니까 국민한테만 죄다 부담시킴 우리가 아무리 플라스틱 분리배출 해봐야 원료 문제로 재활용 안되는게 태반임 근데 지들 뒷돈 받겠다고 이딴 탁상행정 만듬 종이빨대가 플라스틱 빨대보다 환경오염을 야기한다는게 이미 결론난걸 아직도 참나,2023.10.26,0,youtube,-4
그냥 앞에 쓴 사람 침 묻은 컵 그냥 쓱 닦아 쓰고그냥 앞에 쓴 사람 침 묻은 수저 그냥 쓱 닦아 쓰고그냥 앞에 쓴 사람 거닦아 씻고 어쩌고 그냥 쓰면 문제없네뭐가 문제지 왜 그래 우린 한민족 18 가족들이잖아가족끼리 찌개도 한 숟가락으로 뭐 맛있게 처잡수시면서 뭔 위생 호들갑은이 논지가 뭐야 일회용품 사용 자제가 아니라 금지잖아근데 이건 시간이 많이 걸리는 시회적 문제 해결점이 필요한 얘기잖아 서로가 공감할 더 나은 공공위생과 개인안전을 위한 사회적 호응과 인정 그리고 공유의 목적그게 이루어져야 실행해도 될까 말까한 민감한 얘기에 이행하지 않으면 과태료 또는 벌금을 물린다그거 발안한 너 똑똑하다 아주 멋져 그런 넌 네 개인 텀블러 들고 다니냐 인증샷 하나 올려줘봐라맞아 일회용품 문제 참 많은 개선과 조율은 절실해 불필요한 낭비와 환경파괴가 제일 크고근데 웃긴 건 왜 꼭 이런 식으로 국민들에게 그 문제들을 몰아서 세금으로 어찌해라 책임을 전가하는 거야현실적으로 제대로 못 씻는다며 물리적 세척시간 때문에 손님들 몰리고 쌓이는 치울 것들 몰리는 시간엔그래 맞아 식당이면 그럴 수도 있지 근데 다른 커피숍이나 뭐 좀 덜한 곳은 충분히 감내되지 않나그런 테이크아웃 커피숍 니들 점심 처먹고 제일 많이 가져가고 제일 많이 아무데나 버리잖아 뭘 아니라 그래그럼 뭐가 문제지 그걸 해결시켜줘 봐 일회용품 문제 해결 싸게 제대로 이해할 수 있게일단 식당 니들 밥처먹는 깨꿋한 위생세척에 소용되는 물값 세제비 인건비 기타 일반관리비 등등모든 문제와 해결점 거기 더해 필요한 사회적 지원점까지 다 따져 판단해서 결론을 내렸냐 니들부터 고쳐봐계도도 중요하지만 그 계도의 구심점 현실적 법적 허용치도 완성하고 일회용 쓰지마라 공표하라고니들 폼 낸다고 테이크아웃한 커피들 그 니 인간성만큼 차지고 더러운 남은 잔유물 그래 쓰레기 치워는 봤냐일회용품 문제 참 많은 개선과 조율은 절실해 불필요한 낭비와 환경파괴가 제일 크고근데 그걸 탁상공론으로 니들끼리 뭐 법적 어쩐 조치 취하네 어쩌네 18 장난해그냥 앞에 먹었던 손님 남은 반찬도 쓱 뒤집어 되 담아 쓰면 아이고 이렇게나 많이 감사합니다그냥 옆에 먹었던 손님 남은 메뉴도 쓱 덤으로 좀 내어 주면 아이고 이런 아량까지 감개무량그거 고맙다 너 맛있다며 먹을 수 있어 이 더러운 개3끼들아 개냐 사람처럼 일 좀 해라,2023.10.25,0,youtube,-4
